"","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Malawi",0.653,0.005,0.215,0.74,0.496,0.656,0.937,0.163,0.697,0.587,0.684,0.937,0.871,1.34,1.05,1.054,0.482,0.696,0.966,0.629,0.865,0.788,1.055,0.991,1.31,1.22,1.039,1.225,1.361
"Malaysia",0.349,0.167,0.308,0.431,0.325,0.588,1.138,0.385,0.361,0.575,0.674,0.693,0.658,0.867,0.605,0.652,0.534,0.754,0.977,0.603,0.773,0.957,0.976,1.13,1.577,1.109,1.172,1.428,1.358
"Maldives",0.225,0.241,0.44,0.707,0.453,0.58,0.919,0.311,0.277,0.475,0.634,0.535,0.404,0.859,0.402,0.45,0.225,0.556,0.683,0.538,0.526,0.592,0.672,0.806,0.846,0.707,0.65,0.918,0.933
"Mali",0.266,1.081,0.27,0.647,1.225,0.915,1.238,0.414,0.721,0.641,1.286,1.31,1.247,1.426,1.145,0.979,0.585,1.038,1.723,1.296,0.438,0.99,0.852,1.094,1.161,1.406,1.179,1.242,1.171
"Malta",0.245,0.588,1.377,0.42,0.6,1.016,0.84,1.25,1.067,1.677,0.934,1.353,0.649,0.612,0.909,1.314,1.148,0.884,1.073,0.831,1.289,1.222,1.419,1.429,1.682,1.142,1.344,0.949,1.238
"Marshall Islands",0.101,-0.054,0.225,0.045,0.139,0.05,0.031,-0.246,-0.132,0.192,0.352,0.318,0.458,0.335,0.257,0.262,0.014,0.217,0.383,0.198,0.55,0.544,0.607,0.5,0.804,0.611,0.397,0.605,0.719
"Martinique",0.258,0.381,0.493,0.586,0.376,0.557,0.981,0.409,0.14,0.39,0.535,0.644,0.355,0.669,0.567,0.65,0.201,0.391,1.031,0.446,0.538,0.539,0.474,0.71,0.87,0.625,0.407,0.576,0.845
"Mauritania",0.848,1,0.563,1.171,1.515,1.261,1.767,0.536,1.185,1.342,1.28,1.192,1.283,1.343,1.456,1.05,1.332,0.971,2.021,1.661,0.829,1.459,1.357,1.357,1.591,1.911,1.008,1.426,1.815
"Mauritius",0.301,0.283,0.697,0.577,0.304,0.861,1.105,0.399,0.386,0.77,0.674,0.961,0.575,0.625,0.441,0.77,0.57,1.193,1.347,1.178,0.954,1.102,1.051,1.382,1.362,1.562,1.299,1.762,1.467
"Mayotte",0.083,0.193,0.494,0.314,-0.046,0.314,0.716,0.161,0.156,0.318,0.764,0.437,0.343,0.483,0.262,0.717,0.532,0.891,1.135,0.877,0.782,0.678,0.872,1.098,1.003,1.239,1.028,1.588,1.336
"Mexico",0.048,0.291,0.677,0.77,0.527,0.447,0.677,0.585,0.575,0.495,0.656,0.806,0.289,0.727,0.861,0.467,0.524,1.039,0.237,0.978,0.864,0.698,0.797,1.048,1.236,1.474,1.105,1.246,1.571
"Micronesia (Federated States of)",0.115,-0.118,0.122,0.042,0.164,0.079,0.339,-0.152,-0.097,0.178,0.067,0.085,0.276,0.181,0.3,0.163,-0.076,0.234,0.367,0.153,0.415,0.425,0.378,0.36,0.747,0.764,0.616,0.658,0.667
"Monaco",0.605,0.434,1.27,0.665,0.213,1.299,0.913,0.913,1.097,1.378,0.91,1.643,0.854,0.786,1.145,1.603,1.054,1.428,0.408,1.358,1.351,0.678,1.768,1.863,1.734,1.921,1.886,1.858,2.143
"Mongolia",0.835,0.476,1.352,1.293,0.434,1.968,2.153,1.793,1.011,1.718,1.815,0.525,1.764,0.966,1.258,2.767,1.8,1.434,0.344,0.796,0.275,1.061,1.913,2.172,1.434,2.515,2.235,1.856,2.36
"Morocco",0.149,0.199,0.855,1.121,0.895,1.207,1.484,1.028,0.909,1.812,1.199,1.69,1.133,1.284,1.49,1.032,1.18,1.274,2.145,1.835,1.445,1.362,1.751,1.256,1.948,2.232,0.638,1.579,2.172
"Mozambique",0.773,0.299,0.116,0.564,0.091,0.214,0.887,0.234,0.23,0.422,0.503,0.541,0.39,1.076,0.528,0.66,0.263,0.487,0.895,0.728,0.647,0.42,0.671,0.967,1.189,0.915,0.836,1.185,0.968
"Myanmar",0.09,0.115,0.477,0.661,0.39,0.274,1.208,0.927,0.236,0.691,0.734,0.719,0.673,1.004,0.893,0.583,0.586,1.028,1.326,0.651,1.044,1.109,1.009,1.308,1.539,1.434,1.181,1.879,1.869
"Namibia",0.409,0.518,-0.019,0.752,-0.094,-0.132,1.093,0.646,-0.227,0.182,0.583,1.003,0.705,1.083,-0.175,0.679,0.653,0.418,1.171,-0.499,-0.115,0.728,0.412,1.089,1.487,0.844,1.231,1.939,0.609
"Nepal",-0.002,-0.108,0.224,0.354,0.278,-0.322,0.405,0.715,0.168,0.534,0.633,0.397,0.456,0.789,0.919,0.602,0.387,1.252,1.282,0.374,0.526,0.341,0.453,0.67,1.192,1.123,0.654,0.67,-0.02
"Netherlands",1.186,0.252,1.37,1.548,-0.772,0.617,1.073,1.579,1.6,1.274,1.531,1.209,1.16,1.251,1.505,2.068,1.425,1.219,0.094,1.061,1.141,0.421,2.555,1.282,1.924,1.723,2.127,2.136,2.482
"Netherlands Antilles (former)",0.135,0.359,0.321,0.524,0.562,0.467,0.935,0.277,0.007,0.468,0.473,0.784,0.428,0.63,0.323,0.709,0.269,0.595,1.05,0.306,0.405,0.828,0.798,1.027,0.976,1.032,0.551,0.806,1.062
"New Caledonia",0.12,-0.15,-0.219,0.448,0.636,0.175,1.606,0.827,0.345,0.586,0.584,0.399,0.518,0.377,0.282,0.683,0.608,0.395,0.788,0.634,0.484,0.597,0.605,0.818,1.512,1.302,0.937,0.875,1.366
"New Zealand",-0.704,-0.368,-0.069,0.095,0.234,-0.14,0.967,1.006,0.261,0.565,0.412,0.23,0.025,0.433,0.379,0.221,0.545,0.02,0.56,0.635,0.088,0.94,0.509,0.542,1.182,0.606,1.157,1.107,0.905
"Nicaragua",0.412,0.253,0.574,0.756,-0.049,0.699,0.975,0.026,0.085,0.47,0.613,0.689,0.644,0.932,0.636,0.91,0.596,0.874,0.901,0.665,0.628,1.07,0.803,1.083,1.267,0.975,1.096,1.362,1.527
"Niger",-0.168,0.529,0.405,0.585,1.2,0.806,0.818,0.709,0.879,0.373,0.727,0.988,0.723,1.37,1.379,1.087,0.529,1.618,1.794,1.218,0.845,1.064,1.248,1.055,1.204,1.026,1.196,1.104,0.925
"Nigeria",-0.085,0.545,0.471,0.448,0.789,0.71,1.078,0.812,0.565,0.249,0.779,0.838,0.757,1.255,1.283,0.875,0.631,1.369,1.492,0.9,0.577,0.964,1.048,1.228,1.214,1.19,1.069,1.26,1.026
"North Macedonia",0.055,0.047,1.516,-0.018,-0.108,-0.104,0.785,0.626,1.112,1.621,0.395,0.656,0.383,0.174,0.445,1.593,1.21,1.072,1.374,0.789,1.503,1.478,1.378,1.548,1.722,1.156,2.171,1.927,1.568
"Norway",1.135,0.712,0.082,0.959,-0.044,0.779,0.401,1.276,1.446,0.632,1.404,1.116,1.315,1.782,1.521,1.711,1.637,1.41,-0.325,1.421,1.075,0.804,2.43,1.808,1.73,1.559,1.491,1.208,2.395
"Oman",-0.398,0.543,0.482,0.321,0.24,0.05,0.996,0.823,0.781,0.835,0.956,0.951,0.891,0.937,0.99,0.803,0.697,0.902,1.282,1.059,0.991,0.724,0.774,1.446,1.137,1.592,1.267,0.975,0.531
"Pakistan",-0.362,0.466,0.212,-0.051,-0.08,-0.364,0.454,0.847,0.714,0.803,1.019,0.534,0.997,0.174,0.955,0.654,0.339,1.025,1.28,0.84,0.276,0.845,0.453,0.606,1.226,1.322,1.418,0.608,0.383
"Palestine",-1.121,-0.446,0.722,-0.246,0.252,-0.227,0.775,0.773,0.15,0.764,0.642,0.472,0.47,0.107,0.49,0.426,0.629,0.733,2.225,0.47,0.927,1.013,0.754,1.226,1.528,0.639,1.875,1.052,1.302
"Panama",0.255,0.343,0.249,0.19,0.026,0.458,0.786,-0.282,-0.046,0.343,0.509,0.687,0.443,0.574,0.543,0.545,0.254,0.774,0.859,0.454,0.386,0.693,0.636,0.923,0.831,0.69,1.076,1.277,1.376
"Papua New Guinea",0.537,0.307,0.291,0.802,0.572,0.101,1.243,0.306,0.286,0.449,0.737,0.496,0.246,0.752,0.323,0.461,0.405,0.405,1.054,0.423,0.313,0.798,0.488,0.411,1.373,0.997,0.659,0.656,1.042
"Paraguay",-0.428,0.175,0.836,0.548,0.082,0.876,0.155,0.008,0.046,0.579,1.073,0.708,0.369,0.55,0.928,0.277,0.29,0.898,0.358,0.647,0.889,0.412,1.186,1.522,0.233,1.155,0.549,1.363,1.558
"Peru",0.895,0.576,0.59,0.881,0.221,0.899,1.288,0.31,0.378,0.444,0.756,0.744,0.71,0.819,0.786,0.53,0.578,0.828,0.996,0.764,0.853,0.649,0.863,1.245,1.383,0.928,0.7,0.996,1.502
"Philippines",0.407,0.375,0.47,0.492,0.377,0.461,1.265,0.508,0.642,0.738,0.64,0.688,0.59,0.681,0.731,0.825,0.509,0.665,0.969,0.545,0.828,0.904,0.783,1.056,1.495,1.199,1.22,1.325,1.458
"Poland",1.148,0.072,1.374,1.114,-0.781,0.016,0.952,1.206,1.889,1.287,1.701,0.369,0.786,0.889,0.839,2.15,1.756,1.274,0.403,0.764,1.379,0.65,2.349,1.999,2.038,1.461,2.418,2.64,2.651
"Portugal",0.444,-0.179,0.692,1.673,0.757,1.596,1.212,0.625,0.658,1.166,0.671,1.446,1.002,0.966,1.536,0.759,0.637,1.407,1.13,1.619,0.791,0.944,1.351,1.398,1.681,2.125,0.883,1.258,1.968
"Puerto Rico",0.168,0.329,0.52,0.565,0.347,0.555,1.099,0.557,0.169,0.651,0.785,0.913,0.452,0.704,0.642,0.868,0.319,0.55,1.036,0.449,0.685,0.651,0.767,1.022,1.11,0.834,0.66,0.82,1.248
"Qatar",-0.446,0.108,0.745,0.145,0.564,0.13,1.238,1.802,1.015,1.038,1.506,1.24,1.285,0.902,1.726,1.057,1.229,1.175,2.017,1.505,1.435,1.285,1.664,2.092,1.592,1.947,2.102,1.903,1.799
"Republic of Korea",0.632,0.05,1.276,0.446,-0.012,0.741,1.497,1.069,0.43,0.898,0.655,0.633,1.209,0.964,0.546,1.313,1.005,1.004,0.558,0.372,0.45,0.566,0.897,0.847,1.539,1.362,0.873,1.438,1.44
"Republic of Moldova",0.461,-0.667,1.636,0.603,-0.694,-0.464,0.795,0.912,1.46,1.68,1.419,-0.224,0.703,0.874,0.284,2.389,1.546,1.78,1.324,0.441,2.039,1.307,1.399,2.021,2.111,1.435,2.093,2.401,3.083
"Romania",0.37,-0.411,1.73,0.416,-0.418,-0.416,0.794,0.627,1.343,1.536,1.216,0.14,0.56,0.311,0.534,2.14,1.35,1.631,1.181,0.503,1.83,1.384,1.576,1.854,1.938,1.219,2.331,2.308,2.29
"Russian Federation",0.369,0.96,0.584,2.113,0.818,1.285,-0.028,0.42,1.327,0.823,1.597,1.002,1.409,1.718,0.57,2.506,2.238,1.202,0.89,1.714,1.941,1.183,1.772,2.259,2.471,2.142,2.058,2.192,3.699
"Saint Helena, Ascension and Tristan da Cunha",0.199,0.714,0.99,0.656,0.456,0.895,1.237,1.395,1.483,1.099,1.2,1.488,1.454,1.345,1.628,1.045,1.123,1.692,1.159,1.471,1.279,1.252,1.346,1.935,1.671,1.394,1.633,1.669,1.432
"Saint Lucia",0.274,0.363,0.429,0.558,0.343,0.46,0.982,0.415,0.181,0.418,0.477,0.711,0.398,0.804,0.609,0.594,0.29,0.4,1.078,0.558,0.516,0.595,0.479,0.725,0.884,0.693,0.387,0.618,0.836
"Saint Pierre and Miquelon",-1.266,-1.009,-0.244,-0.19,0.207,-0.285,0.824,1.738,1.148,0.573,0.003,0.208,0.634,0.971,1.867,0.409,0.472,0.718,1.335,1.167,2.017,1.317,0.401,0.116,0.853,0.356,0.694,0.037,0.722
"Saint Vincent and the Grenadines",0.306,0.364,0.38,0.596,0.341,0.435,0.987,0.442,0.236,0.465,0.424,0.751,0.344,0.86,0.578,0.521,0.387,0.4,1.13,0.652,0.49,0.592,0.51,0.705,0.804,0.739,0.333,0.554,0.814
"San Marino",0.597,0.62,1.627,0.389,0.311,1.015,1.173,0.912,1.426,1.704,1.146,1.659,0.919,0.53,0.943,1.903,1.348,1.462,0.788,1.367,1.788,1.093,1.692,1.928,1.843,1.749,2.042,1.86,2.043
"Saudi Arabia",-1.04,-0.231,0.596,0.138,0.525,-0.047,0.97,1.442,0.712,0.833,1.035,0.927,0.922,0.483,1.136,0.642,0.845,0.936,2.058,0.777,1.162,1.151,1.218,1.856,1.508,1.753,1.864,1.778,1.593
"Senegal",0.962,1.184,0.689,1.016,1.288,1.435,1.652,0.666,0.961,1.176,1.44,1.148,1.129,1.381,1.412,1.254,1.319,0.744,1.469,1.211,0.875,1.216,1.179,1.298,1.658,1.856,1.084,1.53,1.803
"Seychelles",0.235,0.283,0.572,0.496,0.177,0.661,1.02,0.31,0.419,0.762,0.534,0.723,0.456,0.699,0.664,1.031,0.706,1.048,1.263,1.178,1.12,0.987,1.161,1.479,1.425,1.516,1.248,1.708,1.765
"Singapore",0.343,0.376,0.609,0.571,0.21,0.776,1.169,0.521,0.59,0.601,0.796,0.834,0.823,1.037,0.73,0.694,0.571,1.022,1.256,0.842,1.177,1.194,1.194,1.459,1.889,1.385,1.375,2.042,1.563
"Slovenia",1.194,0.601,1.916,0.846,-0.069,0.512,1.408,0.912,1.832,1.761,1.556,1.482,0.785,0.535,0.923,2.223,1.63,1.687,0.827,1.409,1.987,1.286,2.493,2.192,2.111,1.789,2.486,2.427,2.316
"Somalia",0.751,0.368,0.729,0.672,0.862,0.687,0.854,0.574,0.617,1.041,1.038,1.225,0.633,1.19,0.976,1.058,0.673,1.404,1.154,1.2,1.139,1.238,1.275,1.629,1.438,1.8,0.836,1.747,2.037
"South Africa",0.802,0.838,0.218,0.644,-0.133,0.249,0.846,1.09,0.27,0.515,0.453,0.834,0.938,1.097,0.439,0.821,0.726,0.801,1.226,0.556,0.657,0.763,0.906,1.415,1.669,1.151,1.083,1.826,0.867
"Spain",0.352,-0.012,1.081,1.474,0.743,1.553,1.208,0.837,0.837,1.44,0.842,1.626,1.022,0.906,1.541,0.847,0.873,1.36,0.912,1.623,1.067,0.918,1.616,1.528,1.713,2.033,1.141,1.507,2.021
"Sri Lanka",0.307,0.304,0.365,0.68,0.505,0.668,1.296,0.451,0.582,0.823,0.972,0.891,0.804,0.869,0.655,0.654,0.541,0.649,1.01,0.689,0.881,0.872,0.954,0.948,1.328,1.051,0.782,1.232,1.296
"Suriname",0.632,0.428,0.513,1.017,0.492,0.767,1.382,0.554,0.613,0.598,0.935,0.994,0.996,1.395,1.058,1.153,1.224,1.562,1.627,1.172,1.271,1.61,1.666,1.736,2.217,1.874,1.685,1.966,2.143
"Svalbard and Jan Mayen Islands",0.958,0.013,0.06,0.473,1.186,-0.32,0.175,2.068,1.977,1.387,1.618,0.844,0.738,2.447,3.885,3.051,1.841,1.907,2.272,2.107,3.825,2.272,3.383,3.314,5.328,3.339,4.066,2.872,2.001
"Sweden",1.39,0.828,0.213,1.28,-0.145,1.002,0.581,1.38,1.739,1.087,1.583,0.932,1.217,1.843,1.504,1.952,1.977,1.45,-0.263,1.292,1.334,0.874,2.717,2.088,1.855,1.598,1.853,1.576,2.938
"Switzerland",0.953,0.549,1.846,0.993,0.025,1.058,1.103,0.97,1.411,1.44,1.252,1.845,0.973,0.809,1.094,1.812,1.204,1.378,0.459,1.666,1.509,0.779,2.15,1.956,1.84,1.818,2.334,2.095,2.503
"Syrian Arab Republic",-1.16,-0.607,1.24,0.128,0.43,-0.145,1.12,1.239,0.633,1.128,0.833,0.51,0.614,0.21,0.996,0.77,1.005,0.641,2.441,0.624,1.01,1.344,1.215,1.36,1.857,1.224,2.462,1.652,1.984
"Tajikistan",-0.282,-0.162,0.421,0.319,-0.415,1.059,0.494,1.023,0.945,1.458,1.227,0.619,1.262,0.778,1.448,1.164,0.893,0.765,1.292,1.417,-0.048,1.244,0.489,1.246,1.768,1.336,1.662,1.341,1.025
"Thailand",0.387,0.33,0.377,0.698,0.26,0.426,1.463,0.429,0.076,0.68,0.673,0.803,0.549,0.887,0.685,0.557,0.416,0.524,1.316,0.281,0.934,1.123,0.709,1.209,1.461,1.011,0.822,1.749,1.515
"Togo",0.082,0.495,0.482,0.552,0.665,0.57,1.095,0.587,0.54,0.675,0.738,1.043,0.771,0.992,1.024,0.926,0.772,0.937,1.316,0.923,0.628,0.821,0.935,1.197,1.257,1.351,1.179,1.335,1.233
"Tonga",-0.017,-0.272,0.035,0.357,0.281,0.209,0.323,0.24,0.393,0.658,0.816,0.551,0.644,0.754,0.539,0.81,0.281,0.346,0.889,0.616,0.681,0.819,0.742,0.789,1.313,1.106,1.048,1.63,1.424
"Trinidad and Tobago",0.242,0.51,0.316,0.592,0.382,0.439,0.986,0.513,0.353,0.504,0.364,0.678,0.316,0.982,0.499,0.393,0.319,0.503,1.221,0.55,0.508,0.65,0.608,0.75,0.841,1.002,0.349,0.867,1.066
"Tunisia",0.057,0.695,1.378,0.687,0.649,1.305,1.042,1.799,1.068,2.039,1.303,1.752,0.971,1.091,1.304,1.417,1.405,0.894,1.795,1.068,1.626,1.449,1.838,1.168,1.863,1.333,1.455,1.286,1.948
"Turkey",-1.244,-0.82,1.204,0.147,0.274,-0.005,1.003,1.232,0.516,1.512,0.784,0.288,0.571,0.411,0.862,0.953,0.813,0.649,2.342,0.365,0.94,1.34,1.321,0.811,1.575,0.768,2.629,1.695,1.912
"Turkmenistan",-0.095,-0.192,0.264,1.378,-0.067,1.357,0.949,1.287,1.289,1.515,1.759,0.042,1.643,1.288,1.683,1.103,0.73,1.081,1.906,1.096,0.804,1.657,0.727,1.415,2.003,1.685,1.537,1.872,1.584
"Tuvalu",0.114,-0.089,0.408,0.383,0.281,0.329,0.112,0.31,0.418,0.684,0.708,0.483,0.56,0.71,0.561,0.656,0.278,0.569,0.83,0.708,0.514,0.585,0.548,0.7,0.825,0.915,0.877,0.98,1.098
"Uganda",0.312,0.227,0.243,0.475,0.373,0.64,0.473,-0.062,0.41,0.341,0.736,0.793,0.71,1.354,1.028,0.424,0.603,1.178,1.227,0.844,0.914,0.92,0.911,0.977,1.064,1.449,0.779,1.292,0.934
"Ukraine",0.463,-0.735,1.153,0.946,-0.42,-0.342,0.731,1.16,1.424,1.795,1.54,-0.269,0.924,1.031,0.28,2.393,1.634,1.622,1.661,0.587,1.956,1.519,1.713,2.085,2.128,1.436,2.252,2.38,3.032
"United Arab Emirates",-0.492,0.137,0.566,0.023,0.478,-0.148,1.16,1.461,0.835,0.702,1.231,1.095,1.037,0.733,1.27,0.848,0.819,0.926,1.581,1.251,1.179,0.863,1.008,1.627,1.148,1.654,1.593,1.266,1.302
"United Kingdom of Great Britain and Northern Ireland",0.506,-0.028,0.402,1.111,-0.149,0.875,0.855,1.127,0.716,0.626,1.007,1.188,1.03,1.114,1.244,1.327,0.832,0.945,-0.063,0.84,0.571,0.367,1.717,0.61,1.165,1.43,1.013,1.248,1.392
"United Republic of Tanzania",0.257,-0.016,0.338,0.268,0.149,0.519,0.445,-0.31,0.454,0.355,0.584,0.983,0.857,1.05,0.905,0.802,0.509,0.944,1.111,0.837,0.945,1.012,1.028,1.278,1.127,1.577,1.099,1.468,1.175
"United States of America",0.394,0.007,0.465,0.629,-0.009,0.391,1.268,0.755,1,0.784,0.953,0.992,0.866,1.157,1.028,1.147,0.215,0.399,0.694,0.539,1.451,0.618,0.504,1.534,2.229,1.437,1.278,1.04,1.331
"United States Virgin Islands",0.129,0.366,0.489,0.451,0.209,0.38,0.981,0.486,0.058,0.508,0.669,0.758,0.42,0.667,0.52,0.778,0.256,0.527,0.924,0.305,0.535,0.618,0.74,0.944,1.048,0.755,0.571,0.775,1.216
"Uruguay",0.161,0.29,0.459,0.315,0.504,1.153,0.168,0.129,0.402,1.312,0.673,0.375,0.53,0.854,0.639,0.19,0.795,0.591,0.344,0.528,0.933,0.229,1.249,1.133,0.417,1.667,1.327,0.913,1.109
"Uzbekistan",0.11,-0.222,-0.03,1.386,-0.452,1.531,0.491,1.304,1.386,1.552,1.82,0.132,1.912,1.356,1.549,1.359,0.691,1.057,1.776,1.038,0.668,1.514,0.165,1.386,2.262,1.751,0.998,1.893,1.67
"Vanuatu",-0.093,-0.405,-0.12,0.268,0.376,0.167,0.817,1.005,0.842,0.575,0.554,0.342,0.457,0.546,0.413,0.827,0.739,0.453,0.866,0.705,0.394,0.702,0.59,0.576,1.123,1.02,0.364,0.691,1
"Venezuela (Bolivarian Republic of)",0.317,0.359,0.144,0.518,0.35,0.36,0.853,0.191,0.082,0.428,0.432,0.853,0.508,0.664,0.495,0.549,0.384,0.675,1.058,0.407,0.331,0.736,0.755,1.022,0.988,0.625,0.73,1.054,1.184
"Viet Nam",0.03,0.283,0.294,0.354,-0.009,0.303,1.304,0.788,0.178,0.716,0.72,1.054,0.413,0.861,0.912,0.532,0.226,0.701,1.115,0.145,0.77,0.927,0.539,1.216,1.164,1.118,0.822,1.776,1.506
"Wallis and Futuna Islands",-0.153,-0.449,-0.273,0.347,0.396,0.169,0.493,0.372,0.464,0.677,0.784,0.582,0.547,0.675,0.555,0.806,0.292,0.306,0.859,0.718,0.634,0.712,0.687,0.7,1.279,1.081,0.896,1.284,1.256
"Western Sahara",0.546,0.422,0.591,1.291,1.337,1.466,1.431,0.999,0.926,1.345,1.298,1.435,1.585,1.214,1.503,1.051,1.496,1.039,1.91,1.593,1.4,1.523,1.47,1.513,1.8,2.234,0.917,1.497,2.079
"Zambia",0.637,-0.054,0.271,0.705,0.747,0.476,1.017,0.219,0.113,0.332,0.74,0.951,0.539,1.156,0.691,1.041,0.486,0.524,1.448,0.942,1.024,1.069,0.935,1.863,1.3,0.629,0.888,1.31,1.304
"Zimbabwe",1.031,0.36,0.007,0.792,-0.2,0.117,0.932,0.167,-0.287,0.157,0.524,0.497,0.227,1.33,-0.026,0.366,0.322,-0.076,1.072,0.609,0.72,0.394,0.507,1.226,1.47,0.443,0.747,1.359,0.82
