"","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"British Virgin Islands",0.123,0.375,0.485,0.43,0.185,0.349,0.957,0.473,0.043,0.48,0.647,0.727,0.417,0.66,0.499,0.762,0.245,0.521,0.901,0.271,0.5,0.618,0.736,0.929,1.037,0.738,0.559,0.768,1.211
"Brunei Darussalam",0.199,0.043,0.229,0.334,0.221,0.571,1.163,0.419,0.3,0.432,0.552,0.725,0.562,0.822,0.472,0.491,0.317,0.704,0.797,0.429,0.686,0.885,0.869,1.043,1.519,1.067,1.076,1.283,1.263
"Bulgaria",0.17,-0.29,1.621,0.26,-0.329,-0.306,0.807,0.717,1.202,1.646,0.848,0.173,0.522,0.213,0.581,1.895,1.189,1.302,1.378,0.436,1.692,1.491,1.236,1.495,1.955,1.013,2.251,2.208,2.176
"Burkina Faso",0.035,0.795,0.385,0.478,0.989,0.696,1.069,0.629,0.624,0.578,1.075,1.054,0.929,1.517,1.234,0.949,0.362,0.989,1.321,1.058,0.545,0.903,0.931,1.178,1.136,1.283,1.225,1.153,1.123
"C<U+00F4>te d'Ivoire",0.305,0.549,0.578,0.749,0.82,0.728,1.324,0.529,0.482,0.57,0.827,1.093,0.853,1.115,1.027,1.115,0.824,1.028,1.351,1.052,0.742,1.021,0.909,1.354,1.538,1.584,1.395,1.4,1.353
"Cabo Verde",0.975,0.594,0.527,1.561,1.684,1.74,1.866,0.881,1.125,1.415,1.445,0.956,0.985,0.498,0.682,0.148,0.629,0.463,1.948,1.053,0.513,0.943,0.696,0.683,1.334,1.626,0.539,1.134,1.408
"Cambodia",0.433,0.298,0.347,0.58,0.239,0.297,1.268,0.362,0.231,0.611,0.669,0.657,0.582,0.72,0.722,0.6,0.422,0.4,1.172,0.375,0.873,1.014,0.56,1.037,1.349,0.998,0.724,1.544,1.436
"Cameroon",-0.198,0.36,0.451,0.526,0.525,0.672,1.265,0.787,0.49,0.284,0.851,0.983,0.912,1.144,1.125,0.768,0.725,1.203,1.278,0.719,0.549,0.785,0.858,1.139,1.206,1.172,1.054,1.527,1.045
"Canada",0.107,0.347,0.468,0.934,-0.124,0.427,2.47,1.699,1.292,1.424,0.554,1.257,0.508,1.298,2.348,1.332,0.856,0.54,2.915,1.449,2.155,1.187,0.297,1.225,2.412,1.503,0.523,1.342,1.158
"Central African Republic",-0.322,0.457,0.686,0.28,0.267,0.264,1.253,0.575,0.807,0.518,0.896,0.964,1.255,1.315,1.186,0.595,0.779,1.296,1.296,0.868,0.635,0.889,0.704,1.011,1.241,1.225,1.206,1.28,1.214
"Chad",-0.265,0.323,0.421,0.283,0.684,0.251,0.866,0.596,0.377,0.294,0.781,0.835,0.855,1.214,1.415,0.63,0.474,1.294,1.285,1.03,0.629,1.063,0.879,1.328,0.921,1.025,1.515,1.375,1.037
"Channel Islands",0.46,0.103,1.086,1.533,0.11,0.904,0.817,1.346,0.892,1.111,1.039,1.388,1.014,1.19,1.144,1.308,0.842,0.743,0.165,1.129,0.811,0.591,1.792,1.146,1.509,1.525,1.551,1.693,2.128
"Chile",-0.137,0.133,0.164,-0.109,0.153,0.657,0.621,0.19,-0.277,-0.019,0.046,0.246,0.43,0.08,0.462,-0.354,0.359,0.371,-0.117,0.074,0.571,0.346,0.408,0.734,0.831,0.671,0.333,0.459,0.73
"China",0.129,0.281,0.731,0.576,0.211,0.738,1.272,1.235,0.578,1.045,1.14,0.831,1.123,1.064,1.245,1.55,1.104,1.352,0.982,0.808,0.645,1.103,1.107,1.341,1.378,1.636,1.422,1.473,1.703
